date,pass,block,solution,sprayer,nozzle,distance_m,deposition,type,location,distance_log,deposition_log
2020-09-19T00:00:00Z,9,2,Intact,Open,ULD,16,0.19205880248081988,downwind,missouri,1.2041199826559248,-0.716565783363473
2020-09-19T00:00:00Z,9,2,Intact,Open,ULD,30,0.057239915414102095,downwind,missouri,1.4771212547196624,-1.2423010166875206
2020-09-19T00:00:00Z,9,2,Intact,Open,ULD,45,0.17837752726774317,downwind,missouri,1.6532125137753437,-0.7486598607131211
2020-09-19T00:00:00Z,9,2,Intact,Open,ULD,60,0.02841331604824611,downwind,missouri,1.7781512503836436,-1.5464780778781182
2020-09-19T00:00:00Z,10,2,Intact,Hood,TTI,1,0.9299003422846254,downwind,missouri,0,-0.031563592429927
2020-09-19T00:00:00Z,10,2,Intact,Hood,TTI,2,0.08964566797729716,downwind,missouri,0.3010299956639812,-1.0474706923707575
2020-09-19T00:00:00Z,10,2,Intact,Hood,TTI,3,0.21384516153717473,downwind,missouri,0.47712125471966244,-0.6699005716474224
2020-09-19T00:00:00Z,10,2,Intact,Hood,TTI,4,0.05509184239471664,downwind,missouri,0.6020599913279624,-1.2589127036027268
2020-09-19T00:00:00Z,10,2,Intact,Hood,TTI,8,0.08326223031947101,downwind,missouri,0.9030899869919435,-1.079551959982198
2020-09-19T00:00:00Z,10,2,Intact,Hood,TTI,16,0.07951542995509482,downwind,missouri,1.2041199826559248,-1.0995485883984517
2020-09-19T00:00:00Z,10,2,Intact,Hood,TTI,30,0.05620200546564295,downwind,missouri,1.4771212547196624,-1.250248187151173
2020-09-19T00:00:00Z,10,2,Intact,Hood,TTI,45,0.05852957701677516,downwind,missouri,1.6532125137753437,-1.2326246144462887
2020-09-19T00:00:00Z,10,2,Intact,Hood,TTI,60,0.039539980917999214,downwind,missouri,1.7781512503836436,-1.4029635446128788
2020-09-19T00:00:00Z,11,2,Intact,Hood,AIXR,1,4.564157925345669,downwind,missouri,0,0.659360663116813
2020-09-19T00:00:00Z,11,2,Intact,Hood,AIXR,2,0.3497013673417783,downwind,missouri,0.3010299956639812,-0.45630266958429755
2020-09-19T00:00:00Z,11,2,Intact,Hood,AIXR,3,0.12891768661131428,downwind,missouri,0.47712125471966244,-0.8896874963722
2020-09-19T00:00:00Z,11,2,Intact,Hood,AIXR,4,0.06549962118465052,downwind,missouri,0.6020599913279624,-1.183761211731754
2020-09-19T00:00:00Z,11,2,Intact,Hood,AIXR,8,0.09505771294806277,downwind,missouri,0.9030899869919435,-1.022012638873416
2020-09-19T00:00:00Z,11,2,Intact,Hood,AIXR,16,0.04981856780781685,downwind,missouri,1.2041199826559248,-1.3026087617875224
2020-09-19T00:00:00Z,11,2,Intact,Hood,AIXR,30,0.01915031297347833,downwind,missouri,1.4771212547196624,-1.7178241239646053
2020-09-19T00:00:00Z,11,2,Intact,Hood,AIXR,45,0.04092734866950797,downwind,missouri,1.6532125137753437,-1.3879863886432258
2020-09-19T00:00:00Z,11,2,Intact,Hood,AIXR,60,0.028961301812745047,downwind,missouri,1.7781512503836436,-1.5381819204657492
2020-09-19T00:00:00Z,12,2,Intact,Open,TTI,1,0.7727388580903788,downwind,missouri,0,-0.11196724819251427
2020-09-19T00:00:00Z,12,2,Intact,Open,TTI,2,0.3126403501805782,downwind,missouri,0.3010299956639812,-0.5049549715187429
2020-09-19T00:00:00Z,12,2,Intact,Open,TTI,3,0.24261588513083904,downwind,missouri,0.47712125471966244,-0.6150807673655111
2020-09-19T00:00:00Z,12,2,Intact,Open,TTI,4,0.23433498366230132,downwind,missouri,0.6020599913279624,-0.630162871124133
2020-09-19T00:00:00Z,12,2,Intact,Open,TTI,8,0.06508497996324308,downwind,missouri,0.9030899869919435,-1.1865192245149503
2020-09-19T00:00:00Z,12,2,Intact,Open,TTI,16,0.03864420685317555,downwind,missouri,1.2041199826559248,-1.4129156018820275
2020-09-19T00:00:00Z,12,2,Intact,Open,TTI,30,0.015544850125149593,downwind,missouri,1.4771212547196624,-1.8084134608278841
2020-09-19T00:00:00Z,12,2,Intact,Open,TTI,45,0.024872998713161138,downwind,missouri,1.6532125137753437,-1.6042718526041786
2020-09-19T00:00:00Z,12,2,Intact,Open,TTI,60,0.019880243497015664,downwind,missouri,1.7781512503836436,-1.701578300584448
2020-09-19T00:00:00Z,13,3,Intact,Hood,TTI,1,1.3706350814423585,downwind,missouri,0,0.13692184340276287
2020-09-19T00:00:00Z,13,3,Intact,Hood,TTI,2,0.3663538134056725,downwind,missouri,0.3010299956639812,-0.43609928349601057
2020-09-19T00:00:00Z,13,3,Intact,Hood,TTI,3,0.1892828035929308,downwind,missouri,0.47712125471966244,-0.7228888400453816
2020-09-19T00:00:00Z,13,3,Intact,Hood,TTI,4,0.08464993415812884,downwind,missouri,0.6020599913279624,-1.0723733753550748
2020-09-19T00:00:00Z,13,3,Intact,Hood,TTI,8,0.13432973158207992,downwind,missouri,0.9030899869919435,-0.871827853057448
2020-09-19T00:00:00Z,13,3,Intact,Hood,TTI,16,0.021925720650794057,downwind,missouri,1.2041199826559248,-1.6590461234114187
